gene,rho,pval,abs_rho
VAMP1,0.014792596502563243,0.07299812959326267,0.014792596502563243
NOP9,-0.014712276436689821,0.07456894423128192,0.014712276436689821
N4BP2,0.014708940354566704,0.07463478043908027,0.014708940354566704
LILRA1,-0.014693856833657076,0.07493304039879782,0.014693856833657076
IGKV1-12,0.014693486776898326,0.07494037007707356,0.014693486776898326
ZBTB25,-0.014653564365732848,0.07573455457795934,0.014653564365732848
POLH,0.014651738470285166,0.07577104108137162,0.014651738470285166
STARD10,0.01463649670868807,0.07607617403001057,0.01463649670868807
TAF9,0.014616266657626786,0.07648271743641409,0.014616266657626786
LPAR6,0.01458622715941226,0.07708965797793683,0.01458622715941226
NSMAF,-0.01456365912704173,0.07754821659961575,0.01456365912704173
PPP1R12C,-0.014513314950557825,0.07857916508900178,0.014513314950557825
MCAT,0.014512268974464426,0.07860070228179108,0.014512268974464426
XPNPEP3,-0.01446469051895376,0.0795854566966541,0.01446469051895376
GTF3C1,-0.014451033698296385,0.07986996370994122,0.014451033698296385
GRAP,-0.014377261627472614,0.0814211501252991,0.014377261627472614
DENND3,-0.014310466785743098,0.08284663102376702,0.014310466785743098
WDR37,-0.014263371308588624,0.08386380879365242,0.014263371308588624
CEP70,0.014253474490622245,0.08407884257842267,0.014253474490622245
PIK3C3,-0.01418553154452261,0.08556715172973395,0.01418553154452261
IGLV1-51,0.014161702205726344,0.08609415621021922,0.014161702205726344
UBR1,-0.01409517996371424,0.08757923457752148,0.01409517996371424
CISH,0.014087778848819926,0.08774573080139238,0.014087778848819926
VPS54,-0.014077082868496895,0.0879867996071011,0.014077082868496895
RPTOR,0.014038687988196314,0.08885655588703208,0.014038687988196314
MYOM2,0.014036870993961554,0.0888978871677892,0.014036870993961554
WDR25,0.01401451381303666,0.08940771618821274,0.01401451381303666
